00 = null player

date & time | p1 | action | text
--- day 0 ----------------------------------------------------
oct27 22:00 | 00 | tagged | 06 with orange marker
oct27 22:00 | 00 | tagged | 08 with green marker
oct27 22:00 | 00 | tagged | 09 with purple marker
--- day 1 ----------------------------------------------------
oct27 22:04 | 08 | tagged | 12 with green marker
oct28 15:44 | 06 | tagged | 01 with orange marker
oct28 19:13 | 12 | tagged | 04 with green marker
oct28 19:19 | 01 | tagged | 03 with orange marker
oct28 19:23 | 04 | tagged | 02 with green marker
oct28 19:26 | 02 | tagged | 07 with green marker
oct28 20:47 | 07 | tagged | 04 with green marker
oct28 20:48 | 03 | tagged | 02 with orange marker
oct28 20:48 | 04 | tagged | 01 with green marker
oct28 21:42 | 02 | tagged | 07 with orange marker
oct28 21:53 | 07 | tagged | 02 with orange marker
oct28 22:00 | 01 | gained | +100 points (000 -> 100)
oct28 22:00 | 02 | gained | +100 points (000 -> 100)
oct28 22:00 | 09 | gained | +100 points (000 -> 100)
oct28 22:00 | 04 | gained | +025 points (000 -> 025)
oct28 22:00 | 06 | gained | +025 points (000 -> 025)
--- day 2 ----------------------------------------------------
oct28 22:28 | 02 | tagged | 07 with orange marker
oct28 22:40 | 01 | tagged | 06 with green marker
oct28 23:00 | 07 | tagged | 02 with orange marker
oct29 08:08 | 09 | tagged | 01 with purple marker
oct29 16:25 | 01 | tagged | 08 with purple marker
oct29 18:39 | 02 | tagged | 07 with orange marker
oct29 19:05 | 06 | tagged | 13 with green marker
oct29 19:50 | 07 | tagged | 03 with orange marker
oct29 19:50 | 03 | tagged | 01 with orange marker
oct29 21:08 | 01 | tagged | 06 with orange marker
oct29 22:00 | 06 | gained | +100 points (025 -> 125)
oct29 22:00 | 08 | gained | +100 points (000 -> 100)
oct29 22:00 | 09 | gained | +050 points (100 -> 150)
oct29 22:00 | 10 | gained | +050 points (000 -> 050)
oct29 22:00 | 13 | gained | +100 points (000 -> 100)
--- day 3 ----------------------------------------------------
oct30 10:47 | 13 | tagged | 04 with green marker
oct30 15:19 | 08 | tagged | 10 with purple marker
oct30 16:09 | 06 | tagged | 01 with orange marker
oct30 16:37 | 01 | tagged | 11 with orange marker
oct30 16:55 | 10 | tagged | 03 with purple marker
oct30 22:00 | 03 | gained | +100 points (000 -> 100)
oct30 22:00 | 04 | gained | +100 points (025 -> 125)
oct30 22:00 | 11 | gained | +100 points (000 -> 100)
--- day 4 ----------------------------------------------------
oct31 00:09 | 03 | tagged | 01 with purple marker
oct31 09:38 | 11 | tagged | 13 with orange marker
oct31 12:57 | 01 | tagged | 06 with purple marker
oct31 15:07 | 04 | tagged | 01 with green marker
oct31 15:27 | 01 | tagged | 02 with green marker
oct31 18:12 | 06 | tagged | 01 with purple marker
oct31 18:35 | 02 | tagged | 11 with green marker
oct31 19:11 | 11 | tagged | 08 with green marker
oct31 20:05 | 08 | tagged | 10 with green marker
oct31 20:07 | 01 | tagged | 12 with purple marker
oct31 21:07 | 13 | tagged | 07 with orange marker
oct31 22:00 | 07 | gained | +100 points (000 -> 100)
oct31 22:00 | 10 | gained | +100 points (050 -> 150)
oct31 22:00 | 12 | gained | +100 points (000 -> 100)
oct31 22:00 | 03 | gained | +050 points (100 -> 150)
oct31 22:00 | 13 | gained | +050 points (100 -> 150)
--- day 5 ----------------------------------------------------
oct31 23:00 | 07 | tagged | 02 with orange marker
oct31 23:04 | 02 | tagged | 04 with orange marker
oct31 23:15 | 04 | tagged | 02 with orange marker
nov01 18:44 | 12 | tagged | 01 with purple marker
nov01 21:33 | 01 | tagged | 03 with purple marker
nov01 22:00 | 02 | gained | +100 points (100 -> 200)
nov01 22:00 | 03 | gained | +100 points (150 -> 250)
nov01 22:00 | 10 | gained | +100 points (150 -> 250)
nov01 22:00 | 03 | gained | +050 points (250 -> 300)
nov01 22:00 | 05 | gained | +050 points (000 -> 050)
nov01 22:00 | 06 | gained | +050 points (125 -> 175)
nov01 22:00 | 09 | gained | +050 points (150 -> 200)
nov01 22:00 | 10 | gained | +050 points (250 -> 300)
--- day 6 ----------------------------------------------------
nov02 12:15 | 03 | tagged | 13 with purple marker
nov02 14:17 | 10 | tagged | 03 with green marker
nov02 16:00 | 03 | tagged | 07 with green marker 
nov02 16:00 | 07 | tagged | 09 with green marker 
nov02 21:00 | 02 | tagged | 04 with orange marker
nov02 21:50 | 04 | tagged | 02 with orange marker
nov02 21:51 | 02 | tagged | 01 with orange marker
nov02 22:00 | 01 | gained | +100 points (100 -> 200)
nov02 22:00 | 09 | gained | +100 points (200 -> 300)
nov02 22:00 | 13 | gained | +100 points (150 -> 250)
nov02 22:00 | 06 | gained | +050 points (175 -> 225)
nov02 22:00 | 12 | gained | +050 points (100 -> 150)
--- day 7 ----------------------------------------------------
nov02 22:44 | 01 | tagged | 04 with orange marker
nov03 13:01 | 13 | tagged | 01 with purple marker
nov03 13:53 | 01 | tagged | 06 with purple marker
nov03 19:36 | 06 | tagged | 05 with purple marker
nov03 20:51 | 04 | tagged | 01 with orange marker
nov03 22:00 | 01 | gained | +100 points (200 -> 300)
nov03 22:00 | 05 | gained | +100 points (050 -> 150)
nov03 22:00 | 09 | gained | +100 points (300 -> 400)
nov03 22:00 | 07 | gained | +050 points (100 -> 150)
--- day 8 ----------------------------------------------------
nov04 12:55 | 01 | tagged | 11 with orange marker
nov04 13:49 | 11 | tagged | 06 with orange marker
nov04 17:51 | 05 | tagged | 12 with purple marker
nov04 18:54 | 09 | tagged | 07 with green marker
nov04 19:18 | 12 | tagged | 01 with purple marker
nov04 21:05 | 07 | tagged | 02 with green marker
nov04 21:06 | 02 | tagged | 04 with green marker
nov04 21:06 | 01 | tagged | 12 with purple marker
nov04 21:18 | 12 | tagged | 01 with purple marker
nov04 22:00 | 01 | gained | +100 points (300 -> 400)
nov04 22:00 | 04 | gained | +100 points (125 -> 225)
nov04 22:00 | 06 | gained | +100 points (225 -> 325)
nov04 22:00 | 11 | gained | +050 points (100 -> 150)
--- day 9 ----------------------------------------------------
nov05 09:20 | 04 | tagged | 02 with green marker
nov05 15:10 | 01 | tagged | 13 with purple marker
nov05 15:20 | 06 | tagged | 01 with orange marker
nov05 19:26 | 02 | tagged | 07 with green marker
nov05 19:34 | 01 | tagged | 03 with orange marker
nov05 22:00 | 03 | gained | +100 points (300 -> 400)
nov05 22:00 | 07 | gained | +100 points (150 -> 250)
nov05 22:00 | 13 | gained | +100 points (250 -> 350)
nov05 22:00 | 05 | gained | +050 points (150 -> 200)
--- day 10 ---------------------------------------------------
nov06 10:49 | 07 | tagged | 09 with green marker
nov06 12:23 | 09 | tagged | 01 with green marker
nov06 12:23 | 01 | tagged | 02 with green marker
nov06 12:34 | 02 | tagged | 01 with green marker
nov06 12:34 | 01 | tagged | 09 with green marker
nov06 18:09 | 03 | tagged | 11 with orange marker
nov06 19:05 | 09 | tagged | 02 with green marker
nov06 19:28 | 13 | tagged | 01 with purple marker
nov06 19:38 | 11 | tagged | 08 with orange marker
nov06 21:00 | 01 | tagged | 05 with purple marker
nov06 21:52 | 02 | tagged | 03 with green marker
nov06 21:53 | 08 | tagged | 12 with orange marker
nov06 22:00 | 03 | gained | +100 points (400 -> 500)
nov06 22:00 | 05 | gained | +100 points (200 -> 300)
nov06 22:00 | 13 | gained | +100 points (150 -> 250)
nov06 22:00 | 04 | gained | +050 points (225 -> 275)
nov06 22:00 | 05 | gained | +050 points (300 -> 350)
nov06 22:00 | 08 | gained | +050 points (100 -> 150)
nov06 22:00 | 11 | gained | +050 points (150 -> 200)
nov06 22:00 | 12 | gained | +050 points (250 -> 300)
nov06 22:00 | 03 | tagged | 00 with green marker
nov06 22:00 | 05 | tagged | 00 with purple marker
nov06 22:00 | 12 | tagged | 00 with orange marker
--- END ------------------------------------------------------
