Datetime,Tagger,Tagged,Marker_Color
2025-10-27T22:00:00Z,0,6,orange
2025-10-27T22:00:00Z,0,8,green
2025-10-27T22:00:00Z,0,9,purple
2025-10-27T22:04:00Z,8,12,green
2025-10-28T15:44:00Z,6,1,orange
2025-10-28T19:13:00Z,12,4,green
2025-10-28T19:19:00Z,1,3,orange
2025-10-28T19:23:00Z,4,2,green
2025-10-28T19:26:00Z,2,7,green
2025-10-28T20:47:00Z,7,4,green
2025-10-28T20:48:00Z,3,2,orange
2025-10-28T20:48:00Z,4,1,green
2025-10-28T21:42:00Z,2,7,orange
2025-10-28T21:53:00Z,7,2,orange
2025-10-28T22:28:00Z,2,7,orange
2025-10-28T22:40:00Z,1,6,green
2025-10-28T23:00:00Z,7,2,orange
2025-10-29T08:08:00Z,9,1,purple
2025-10-29T16:25:00Z,1,8,purple
2025-10-29T18:39:00Z,2,7,orange
2025-10-29T19:05:00Z,6,13,green
2025-10-29T19:50:00Z,7,3,orange
2025-10-29T19:50:00Z,3,1,orange
2025-10-29T21:08:00Z,1,6,orange
2025-10-30T10:47:00Z,13,4,green
2025-10-30T15:19:00Z,8,10,purple
2025-10-30T16:09:00Z,6,1,orange
2025-10-30T16:37:00Z,1,11,orange
2025-10-30T16:55:00Z,10,3,purple
2025-10-31T00:09:00Z,3,1,purple
2025-10-31T09:38:00Z,11,13,orange
2025-10-31T12:57:00Z,1,6,purple
2025-10-31T15:07:00Z,4,1,green
2025-10-31T15:27:00Z,1,2,green
2025-10-31T18:12:00Z,6,1,purple
2025-10-31T18:35:00Z,2,11,green
2025-10-31T19:11:00Z,11,8,green
2025-10-31T20:05:00Z,8,10,green
2025-10-31T20:07:00Z,1,12,purple
2025-10-31T21:07:00Z,13,7,orange
2025-10-31T23:00:00Z,7,2,orange
2025-10-31T23:04:00Z,2,4,orange
2025-10-31T23:15:00Z,4,2,orange
2025-11-01T18:44:00Z,12,1,purple
2025-11-01T21:33:00Z,1,3,purple
2025-11-02T12:15:00Z,3,13,purple
2025-11-02T14:17:00Z,10,3,green
2025-11-02T16:00:00Z,3,7,green
2025-11-02T16:00:00Z,7,9,green
2025-11-02T21:00:00Z,2,4,orange
2025-11-02T21:50:00Z,4,2,orange
2025-11-02T21:51:00Z,2,1,orange
2025-11-02T22:44:00Z,1,4,orange
2025-11-03T13:01:00Z,13,1,purple
2025-11-03T13:53:00Z,1,6,purple
2025-11-03T19:36:00Z,6,5,purple
2025-11-03T20:51:00Z,4,1,orange
2025-11-04T12:55:00Z,1,11,orange
2025-11-04T13:49:00Z,11,6,orange
2025-11-04T17:51:00Z,5,12,purple
2025-11-04T18:54:00Z,9,7,green
2025-11-04T19:18:00Z,12,1,purple
2025-11-04T21:05:00Z,7,2,green
2025-11-04T21:06:00Z,2,4,green
2025-11-04T21:06:00Z,1,12,purple
2025-11-04T21:18:00Z,12,1,purple
2025-11-05T09:20:00Z,4,2,green
2025-11-05T15:10:00Z,1,13,purple
2025-11-05T15:20:00Z,6,1,orange
2025-11-05T19:26:00Z,2,7,green
2025-11-05T19:34:00Z,1,3,orange
2025-11-06T10:49:00Z,7,9,green
2025-11-06T12:23:00Z,9,1,green
2025-11-06T12:23:00Z,1,2,green
2025-11-06T12:34:00Z,2,1,green
2025-11-06T12:34:00Z,1,9,green
2025-11-06T18:09:00Z,3,11,orange
2025-11-06T19:05:00Z,9,2,green
2025-11-06T19:28:00Z,13,1,purple
2025-11-06T19:38:00Z,11,8,orange
2025-11-06T21:00:00Z,1,5,purple
2025-11-06T21:52:00Z,2,3,green
2025-11-06T21:53:00Z,8,12,orange
2025-11-06T22:00:00Z,3,0,green
2025-11-06T22:00:00Z,5,0,purple
2025-11-06T22:00:00Z,12,0,orange
